Municipality,Id,Gym,Gym Latitude,Gym Longitude
Catania,4f27297ae4b08842e6be76d5,I Dragoni dell'Etna,37.53834166815336,15.086572766304016
Verona,4d7f95b02ff9b60c25c3c047,Virgin Active,45.413794397315904,10.97093422301735
Verona,52e1820c498e3733012ab16b,McFIT,45.4121531,10.9798201
Verona,50851ae67ab4bbaa74edc732,Tao Long - Arti Marziali e Difesa Personale (Betteloni),45.43271696650604,10.986381769180298
Verona,4c499ce793249c7437830a4d,Palestra Centro Forma,45.45397656574942,10.975504788284274
Verona,4e6e4a0c8998a706cde2c603,Palestra Energym,45.44032130295082,11.004312958275262
Verona,4d89d86cf607a0935bd8f186,Centro Bernstein Poliambulatorio,45.45736191649983,10.971936467936757
Verona,4e970a87754adbdc5d4bb9fb,Palestra Neos Fitness,45.42774,11.06062
Verona,4f02fe4e77c885c33896f165,Centro Fitness Oxygen,45.452003540326764,11.050322340219303
Verona,4fa3b4f0e4b0ce0fa366e578,Il Tempio degli Elfi Societa' Sportiva Dilettantistica,45.43723,10.97174
Verona,4c35a8894308b71352bfc430,HealthCity,45.44016027498616,10.990184545305148
Verona,4d905b1faccf2d43c21fc4d6,Palestre Benessere Globale,45.449749756078134,10.989274701020667
Verona,55da0a8a498eebf438384035,Palestra McFIT,45.43812717847031,10.989215523004532
Verona,4e9c4ea38231878c162e83a5,HelloFit,45.411528167620446,10.96629823073438
Verona,4ca20aa3e44d6dcb766a0375,Palestra Body Shark,45.42649451501842,10.997665981359681
Verona,507c24dee4b07d24b1f2aee6,Crossfit Tigers Verona,45.4216447667865,11.088970822646347
Verona,4fa15956e4b0e43341612d01,Evolution,45.35340193349372,10.907598501762354
Verona,539bfa8f498ec2230a51cf43,Power Pilates Verona,45.442782237022115,10.993291139602661
Verona,508507df90e7cd59ca5518e8,Tao Long - Arti Marziali e Difesa Personale (Catullo),45.44902784901564,10.994562400788547
Verona,4dd533cacc3fcff060dda5e7,Centro Arti Marziali Yawara Verona,45.42760902499764,11.06163854871789
Verona,508510afd63e7780e71bb989,Tao Long - Arti Marziali e Difesa Personale (Fracastoro),45.44995556349009,10.997958183288574
Messina,50a6773be4b09f38ba4bd39f,Fitmania Club,38.17386265452976,15.549294925937312
Messina,507c6ee1e4b01aa9e47d453e,Palestra S.K.S.,38.201161,15.556674
Messina,59d03b4dc0af571699db0951,Time Fitness,38.18923,15.5501
Messina,5bee70c58afbe0002d211851,Palestra Azarian,38.19204,15.54995
Messina,58dc0ed6a4367c4e6c1cdd8d,Danzarte - Scuola di Danza,38.2246478836762,15.5516277423278
Messina,4d8649ddd5fab60cebd2089c,Palatracuzzi,38.19954937849521,15.54991318193527
Messina,5a27d6dee185f34584949e7c,A.S.D. Oasi Wellness,38.1110802,15.4992335
Trieste,4cbfbe8a9ca85481ef8fb816,Web Fit Trieste 1,45.6335994962567,13.779118567518212
Trieste,4d6f98df8781b60cdd9c3f35,Oasi Club,45.645498234537925,13.787391028919497
Trieste,52260c1a11d20e9e94b2f63b,WebFit Excelsior,45.65120786268226,13.777982366829201
Trieste,50b87f42067def4d9a7ce5a6,Webfit,45.63142250601453,13.78121436617039
Trieste,4d2f4bd279dd6ea8288b90d3,Palestre California,45.66497258049633,13.76963459489886
Trieste,4c08c6dba1b32d7f608796f0,Daytona Gym,45.6544090048674,13.77998814374662
Trieste,4f0b2a4ee4b071c578424e27,California Gym Palestre,45.64142,13.76307
Trieste,4dd685361838b8561cceed5b,Palestra Sporting Club,45.640253,13.762895
Trieste,4d15ca22aeefa09030f7d701,SGT Società Ginnastica Triestina,45.651148018403305,13.784663194936886
Trieste,4e5bcef2c65bcd7cbe530811,Palestra Aquarium Club,45.65555841484384,13.781479796767272
Trieste,4d28402d915fa093dd19fb09,Club Fitness,45.650904,13.771106
Trieste,4c342b3209a99c74df0d0c2a,Big'S Gym Soc.A.R.L - Centro Fitness - Corner Dimagrimento,45.66713363737492,13.770012455957763
Trieste,4d87783de83fa1430bd2a4a1,Acquamarina,45.647378291306396,13.755429040589812
Trieste,4d18546a81cea35dcee2ecec,Polo Natatorio ''Bruno Bianchi'',45.63966823108898,13.76089554498798
Trieste,4d5c004f775f8cfa1295b0e0,Avalon,45.71042562198532,13.766108145608523
Taranto,4d516193abb459413672c218,VIVISPORT,40.43671354453207,17.258729367253302
Taranto,4cc4396e306e224ba6ce9b6c,Centro Sportivo Magna Grecia,40.46015684182862,17.265355297256985
Taranto,528c790411d25cca8e92cce0,FreeLife Fitness Club,40.46082564913728,17.252064943313595
Taranto,4cb3597bc939721ea8ebb69e,Piscina Mediterraneo Village,40.4632581889531,17.248202562332153
Brescia,4bdb0e2a3904a5930083489e,Millennium Sport & Fitness,45.52178881976985,10.203096629821806
Brescia,4edfe4b49adf58ec9d669678,Europa Sporting Club,45.55185825457701,10.181626680037885
Brescia,4d64cfb96d94370469f66ebf,Centro Sportivo San Filippo,45.551865277438665,10.181678212497019
Brescia,517244bee4b02cd2b8a83b48,Keepfit,45.513914526221846,10.249009823872596
Brescia,4bdea2c6921d952172fa6832,Virgin Active,45.53516436653729,10.209287602432976
Brescia,4f4640dde4b0190ed34db015,Time4fit,45.53041189590239,10.189109602007097
Brescia,4e0ab35118a889c5fe8da2b1,Hello fit,45.56631209604816,10.230656786972691
Brescia,4e61edf0e4cdf1e2bf1279e6,Quadrifogli,45.55621505768058,10.224006925353642
Brescia,4cd0434a48b837049a64f1de,Piscina Lamarmora,45.52429919359471,10.207886882427626
Brescia,4dcd149fb0fb25f6e32088f6,Kinesis fitness,45.53255254085096,10.180508903319833
Brescia,4d3f173e6e0aa1cd7fe3fa2c,roc palace,45.51409169813333,10.28731113811984
Brescia,4bd69ce16798ef3bd264658d,L'Oriente Beauty & Spa,45.52789566334212,10.224211363320913
Brescia,4d96e3eda2c654811ef2ca53,Palextra,45.513926103390105,10.248979641163581
Brescia,4f4e823ae4b039338827f44b,HelloFit,45.556932061715344,10.229681487516135
Brescia,4d3478102c76a1431f3085c7,Accademia Kriya Yoga Maharishi Sathyananda S.S.D,45.520194000717495,10.272395751921751
Brescia,4eb2ff86e5fa7306e7b522cc,Spazio Gaiabella,45.55102715755308,10.214890761194805
Brescia,4ea144e09a527d65168bdc73,BodyMindCenter Yoga,45.52752657742804,10.211573506678667
Parma,521253e98bbdfa4d29ecb6c3,Planet Fitness,41.379858819928316,-81.74360692664656
Parma,5c8bb124b040560039901a71,Planet Fitness,41.406376,-81.695595
Parma,4f5cb838e4b075ad7ab31fbe,WW (Weight Watchers),41.40353927965823,-81.69602750100097
Parma,4bce42e3cc8cd13a451ec4cf,Workout Factory,41.411145271533755,-81.73462213419172
Parma,4be570642457a593c871ab15,Fitness 19 Parma,41.4063553,-81.6952154
Parma,4bb129e5f964a520c37f3ce3,Fitworks,41.37918282741853,-81.74586689233075
Parma,5a0b8d9f92e7a95dd4daf3f9,Hiit To Fit,41.396294,-81.687935
Parma,535aa15b11d24fff8111902d,Gorillaz Fitness,41.3720532275755,-81.7374129287629
Parma,4b819573f964a5209db030e3,Greater Cleveland YMCA - Ridgewood Family Branch,41.379179085318675,-81.735446941239
Parma,4c38879293db0f478cad2192,Y Express,41.38139220625879,-81.74163909385226
Parma,5cedddcd98fbfc002c72d356,Krazy Fit Studio,41.351553,-81.685391
Parma,52d9a0d711d2814b85984c7e,Ultimate Fitness 24/7,41.41092050071287,-81.6927251168948
Parma,4cb8d84fd78f46881995b273,Parmatown Gardens Fitness Center,41.37656168637671,-81.74123731342411
Parma,4d279d4e915fa093c5f7f409,Soza Fitness And Wellness,41.41765531820997,-81.73472079716262
Parma,4d4eaeb120d3236a61009e28,Maverick Sports Complex,41.41593132348089,-81.75782394885046
Parma,4c29e1b0ce3fc92866566f88,York Gym,41.364450033174336,-81.7159612727638
Parma,4f1ecf91e4b07fde7ee97313,Normandy Gym,41.36153333855951,-81.69800721924723
Parma,515b6534e4b0895b649c5b3b,360 24 Hour Fit,41.36482618411938,-81.71593551283686
Parma,5751e27b498e80be591963e6,fitworks,41.38336954702104,-81.73797011375427
Parma,53d28ea9498e319e8f38aa1c,Adventure Martial Arts,41.40528566958668,-81.73433303833008
Parma,4fcdf0bea17c464e723e9ac1,Ultimate Karate Center,41.41194266031408,-81.69275903607952
Parma,4e343fdf18a8c89210b3f19f,NHS Track,41.36343424787616,-81.69753141777201
Prato,4bdeaa3f921d952120fb6832,Virgin Active,43.87343474983876,11.0627052239523
Prato,4ce2e801910ea1cd47d4727b,Body Planet,43.87823853040788,11.075498404568542
Prato,4c8fa1c61992a1cd0489e7fb,Serendip,43.87330776240221,11.10053399130261
Prato,4f0b3159e4b09a8a41c047b9,Palagym,43.88955683992192,11.090352176654282
Prato,4e9eb19c30f8fb677606829e,Palagym,43.873444493727426,11.10101687468866
Prato,4d29d0514ab78eec11223026,Palestra Corpus,43.90623900289653,11.109235070271632
Prato,4d173224380a8eec486286fa,Palestra Universo,43.85973958145184,11.110235209134856
Prato,4eb43d6202d5f33e920c9739,PalaBuzzi,43.869219134177584,11.114623546600342
Modena,50b90bbee4b036209da1f308,Female Art Studio,44.65271375647033,10.934545116222964
Modena,503a0d54e412f728807e2695,CrossFit Team 059,44.664836357159345,10.927200424969142
Modena,4ca72e4ab0b8236a4956a6e6,All Jolli Sport,44.63385296370878,10.909088419630592
Modena,523b257d7e489413ab67cbba,Muoviti A.S.D.,44.64889060631537,10.858188440012091
Modena,4c1126d03ce120a1093c091c,C.U.S. Modena,44.63335972662454,10.94590220436905
Modena,4d343c515c2db60c21ebd16c,Tonic Modena,44.64273197484184,10.906387703123134
Modena,4df5c748ae609e69dda125ea,New Aktivarium,44.633932796728004,10.927802324295042
Modena,4c56bf4bd12a20a1e20d65bd,Piscina Pergolesi,44.64516253379551,10.949390746147593
Modena,4cb5f8b164998cfa5deb11a2,Polivalente 87 & Gino Pini,44.61795106942083,10.9238862991333
Modena,4d2cb872f728b60cb3bc94fd,Athena,44.62057400376157,10.913350361566577
Modena,4e9363bd30f85f7219076875,Polisportiva San Faustino,44.63490957797162,10.908774523165434
Modena,4e620831e4cdf1e2bf1bf4d3,Coliseum Center,44.63717,10.95046
Modena,4df8dcb218a801cd9f144bca,Mammut Club (Le Contrade),44.61475791578997,10.929423981155152
Modena,4dac79c843a1128197272bce,Palestra Selmi Corni,44.64815458894921,10.888996124267576
Modena,5b953997f00a700039ff7f46,Ghido Hammer Gym srl,44.6327438,10.961810900000046
Modena,50110527e4b034c3deaae9e4,Eurofitness,44.650234085473166,10.918380225655818
Modena,4ce805f40f196dcbad7942ae,Polisportiva A.Corassori,44.64510713670532,10.895301117930812
Modena,4e43ce70887703085fd7e9de,Piscina CDR Città dei ragazzi,44.637900974571906,10.91684917385532
Modena,4d52e20c9b27721e8ccbc646,Asia Dojo,44.654011651054525,10.935853073796498
Modena,4d3a02d7687ca35d212885c4,Villa D'oro,44.65426859077045,10.935817097443298
Modena,506ca263e4b0511be74d996c,Accademia Pugilistica Modenese,44.65153140706998,10.920089658058407
Modena,4f944bdfe4b0eba952716fdc,Centro Danza&Arti Marziali la Fenice,44.655117215658194,10.933777678765114
Modena,4da4802463b5a35d51d0271a,Pista di Atletica La Fratellanza,44.6531104842301,10.904620187298832
Reggio Calabria,4e64f1702271573ad8ad8ad9,Palestra Parco Caserta,38.11473934414559,15.657191276550293
Reggio Calabria,4f92b688e4b04c3ff9412c50,FitLAND,38.11797152385035,15.651431335021982
Reggio Calabria,4ebe19f2e5fae16463b494b2,Colosseum Center,38.08953370137781,15.654446610601006
Reggio Calabria,4e4cdff918a822288dd78901,Sportcity,38.13177133099873,15.655526479273844
